NAME,pop_total,households_total,zcta
ZCTA5 90001,56403,13416,90001
ZCTA5 90002,52735,13319,90002
ZCTA5 90003,71708,17634,90003
ZCTA5 90004,58844,23735,90004
ZCTA5 90005,38747,17477,90005
ZCTA5 90006,55192,19268,90006
ZCTA5 90007,39253,12451,90007
ZCTA5 90008,33443,14740,90008
ZCTA5 90010,4478,2488,90010
ZCTA5 90011,102784,24156,90011
ZCTA5 90012,37463,15236,90012
ZCTA5 90013,14891,8399,90013
ZCTA5 90014,9540,6450,90014
ZCTA5 90015,25257,13180,90015
ZCTA5 90016,46102,17844,90016
ZCTA5 90017,28981,14148,90017
ZCTA5 90018,48812,16646,90018
ZCTA5 90019,59288,23724,90019
ZCTA5 90020,38361,17563,90020
ZCTA5 90021,3152,1541,90021
ZCTA5 90022,61638,17007,90022
ZCTA5 90023,44608,11842,90023
ZCTA5 90024,50830,16847,90024
ZCTA5 90025,45238,22875,90025
ZCTA5 90026,62902,26461,90026
ZCTA5 90027,46049,21736,90027
ZCTA5 90028,31441,17643,90028
ZCTA5 90029,33830,13089,90029
ZCTA5 90031,36881,12166,90031
ZCTA5 90032,43724,13372,90032
ZCTA5 90033,46540,13149,90033
ZCTA5 90034,55120,25628,90034
ZCTA5 90035,27851,11997,90035
ZCTA5 90036,38784,19985,90036
ZCTA5 90037,67895,17709,90037
ZCTA5 90038,27807,13344,90038
ZCTA5 90039,28572,12351,90039
ZCTA5 90040,11683,3344,90040
ZCTA5 90041,27351,9790,90041
ZCTA5 90042,58344,21490,90042
ZCTA5 90043,43548,16883,90043
ZCTA5 90044,95859,27423,90044
ZCTA5 90045,42352,16311,90045
ZCTA5 90046,48905,28716,90046
ZCTA5 90047,50925,17198,90047
ZCTA5 90048,20796,11838,90048
ZCTA5 90049,36735,16605,90049
ZCTA5 90052,0,0,90052
ZCTA5 90056,8908,3531,90056
ZCTA5 90057,45548,16688,90057
ZCTA5 90058,3409,1105,90058
ZCTA5 90059,38015,10245,90059
ZCTA5 90061,28478,7729,90061
ZCTA5 90062,32110,9626,90062
ZCTA5 90063,50536,13229,90063
ZCTA5 90064,26494,11807,90064
ZCTA5 90065,45075,16441,90065
ZCTA5 90066,54975,24867,90066
ZCTA5 90067,3165,1918,90067
ZCTA5 90068,21569,12103,90068
ZCTA5 90069,20318,13068,90069
ZCTA5 90071,304,0,90071
ZCTA5 90073,1053,0,90073
ZCTA5 90077,8158,3225,90077
ZCTA5 90079,0,0,90079
ZCTA5 90089,4777,6,90089
ZCTA5 90094,12127,6075,90094
ZCTA5 90095,0,0,90095
ZCTA5 90201,93783,24358,90201
ZCTA5 90210,19652,8025,90210
ZCTA5 90211,8871,3693,90211
ZCTA5 90212,10834,5439,90212
ZCTA5 90220,49156,13595,90220
ZCTA5 90221,50782,12397,90221
ZCTA5 90222,32173,8519,90222
ZCTA5 90230,31570,13243,90230
ZCTA5 90232,16804,7337,90232
ZCTA5 90240,25326,7675,90240
ZCTA5 90241,45484,14481,90241
ZCTA5 90242,40983,12571,90242
ZCTA5 90245,16863,7125,90245
ZCTA5 90247,47303,16158,90247
ZCTA5 90248,11144,4068,90248
ZCTA5 90249,25967,8880,90249
ZCTA5 90250,94991,32712,90250
ZCTA5 90254,19248,8922,90254
ZCTA5 90255,70363,18714,90255
ZCTA5 90260,32379,10330,90260
ZCTA5 90262,64918,15130,90262
ZCTA5 90263,1895,0,90263
ZCTA5 90265,15914,6219,90265
ZCTA5 90266,34584,13323,90266
ZCTA5 90270,24522,6341,90270
ZCTA5 90272,21438,8282,90272
ZCTA5 90274,24988,9182,90274
ZCTA5 90275,41367,15335,90275
